#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
412,0.1373,70456
413,0.1377,70480
414,0.1380,70529
415,0.1383,70670
416,0.1387,70608
417,0.1390,70640
418,0.1393,70443
419,0.1397,70503
420,0.1400,70406
421,0.1403,70414
422,0.1407,70525
423,0.1410,70553
424,0.1413,70522
425,0.1417,70373
426,0.1420,70417
427,0.1423,70442
428,0.1427,70461
429,0.1430,70585
430,0.1433,70586
431,0.1437,70555
432,0.1440,70452
433,0.1443,70456
434,0.1447,70511
435,0.1450,70465
436,0.1453,70663
437,0.1457,70602
438,0.1460,70712
439,0.1463,70525
440,0.1467,70597
441,0.1470,70622
442,0.1473,70557
443,0.1477,70671
444,0.1480,70532
445,0.1483,70574
446,0.1487,70420
447,0.1490,70469
448,0.1493,70455
449,0.1497,70625
450,0.1500,70513
451,0.1503,70573
452,0.1507,70397
453,0.1510,70515
454,0.1513,70510
455,0.1517,70508
456,0.1520,70634
457,0.1523,70515
458,0.1527,70545
459,0.1530,70386
460,0.1533,70509
461,0.1537,70453
462,0.1540,70631
463,0.1543,70528
464,0.1547,70592
465,0.1550,70388
466,0.1553,70496
467,0.1557,70388
468,0.1560,70561
469,0.1563,70431
470,0.1567,70504
471,0.1570,70405
472,0.1573,70529
473,0.1577,70566
474,0.1580,70698
475,0.1583,70640
476,0.1587,70623
477,0.1590,70492
478,0.1593,70493
479,0.1597,70509
480,0.1600,70424
481,0.1603,70602
482,0.1607,70556
483,0.1610,70688
484,0.1613,70532
485,0.1617,70602
486,0.1620,70527
487,0.1623,70705
488,0.1627,70668
489,0.1630,70729
490,0.1633,70623
491,0.1637,70623
492,0.1640,70578
493,0.1643,70704
494,0.1647,70703
495,0.1650,70645
496,0.1653,70465
497,0.1657,70442
498,0.1660,70464
499,0.1663,70605
500,0.1667,70524
501,0.1670,70504
502,0.1673,70402
503,0.1677,70460
504,0.1680,70557
505,0.1683,70571
506,0.1687,70804
507,0.1690,70661
508,0.1693,70626
509,0.1697,70425
510,0.1700,70486
511,0.1703,70625
512,0.1707,70506
513,0.1710,70539
514,0.1713,70344
515,0.1717,70462
516,0.1720,70413
517,0.1723,70592
518,0.1727,70529
519,0.1730,70618
520,0.1733,70430
521,0.1737,70517
522,0.1740,70405
523,0.1743,70593
524,0.1747,70513
525,0.1750,70626
526,0.1753,70533
527,0.1757,70720
528,0.1760,70706
529,0.1763,70865
530,0.1767,70692
531,0.1770,70653
532,0.1773,70409
533,0.1777,70479
534,0.1780,70458
535,0.1783,70673
536,0.1787,70612
537,0.1790,70614
538,0.1793,70445
539,0.1797,70477
540,0.1800,70492
541,0.1803,70609
542,0.1807,70553
543,0.1810,70537
544,0.1813,70440
545,0.1817,70456
546,0.1820,70504
547,0.1823,70607
548,0.1827,70617
549,0.1830,70593
550,0.1833,70515
551,0.1837,70509
552,0.1840,70496
553,0.1843,70569
554,0.1847,70601
555,0.1850,70622
556,0.1853,70518
557,0.1857,70514
558,0.1860,70498
559,0.1863,70605
560,0.1867,70553
561,0.1870,70519
562,0.1873,70383
563,0.1877,70470
564,0.1880,70451
565,0.1883,70622
566,0.1887,70537
567,0.1890,70615
568,0.1893,70447
569,0.1897,70594
570,0.1900,70549
571,0.1903,70758
572,0.1907,70599
573,0.1910,70642
574,0.1913,70420
575,0.1917,70561
576,0.1920,70690
577,0.1923,70667
578,0.1927,70584
579,0.1930,70429
580,0.1933,70460
581,0.1937,70516
582,0.1940,70670
583,0.1943,70641
584,0.1947,70650
585,0.1950,70542
586,0.1953,70626
587,0.1957,70574
588,0.1960,70708
589,0.1963,70577
590,0.1967,70621
591,0.1970,70452
592,0.1973,70559
593,0.1977,70664
594,0.1980,70619
595,0.1983,70568
596,0.1987,70453
597,0.1990,70449
598,0.1993,70480
599,0.1997,70581
600,0.2000,70554
601,0.2003,70520
602,0.2007,70435
603,0.2010,70459
604,0.2013,70678
605,0.2017,70611
606,0.2020,70697
607,0.2023,70543
608,0.2027,70572
609,0.2030,70540
610,0.2033,70595
611,0.2037,70546
612,0.2040,70556
613,0.2043,70518
614,0.2047,70552
615,0.2050,70703
616,0.2053,70562
617,0.2057,70546
618,0.2060,70364
619,0.2063,70488
620,0.2067,70507
621,0.2070,70749
622,0.2073,70579
623,0.2077,70557
624,0.2080,70301
625,0.2083,70369
626,0.2087,70494
627,0.2090,70499
