#"FID1 - B:Signal #1 LEO_027_1eq_05h.D"
#Point,X(Minutes),Y(Response Units)
455,0.1517,69544
456,0.1520,69760
457,0.1523,69670
458,0.1527,69714
459,0.1530,69513
460,0.1533,69602
461,0.1537,69620
462,0.1540,69586
463,0.1543,69707
464,0.1547,69591
465,0.1550,69620
466,0.1553,69468
467,0.1557,69594
468,0.1560,69581
469,0.1563,69580
470,0.1567,69728
471,0.1570,69702
472,0.1573,69698
473,0.1577,69550
474,0.1580,69552
475,0.1583,69594
476,0.1587,69653
477,0.1590,69568
478,0.1593,69506
479,0.1597,69422
480,0.1600,69562
481,0.1603,69614
482,0.1607,69590
483,0.1610,69699
484,0.1613,69690
485,0.1617,69702
486,0.1620,69575
487,0.1623,69573
488,0.1627,69632
489,0.1630,69628
490,0.1633,69751
491,0.1637,69584
492,0.1640,69618
493,0.1643,69504
494,0.1647,69669
495,0.1650,69692
496,0.1653,69838
497,0.1657,69754
498,0.1660,69678
499,0.1663,69554
500,0.1667,69635
501,0.1670,69711
502,0.1673,69687
503,0.1677,69825
504,0.1680,69706
505,0.1683,69750
506,0.1687,69565
507,0.1690,69635
508,0.1693,69541
509,0.1697,69715
510,0.1700,69590
511,0.1703,69614
512,0.1707,69426
513,0.1710,69528
514,0.1713,69544
515,0.1717,69684
516,0.1720,69605
517,0.1723,69612
518,0.1727,69528
519,0.1730,69649
520,0.1733,69682
521,0.1737,69780
522,0.1740,69741
523,0.1743,69641
524,0.1747,69454
525,0.1750,69480
526,0.1753,69536
527,0.1757,69799
528,0.1760,69781
529,0.1763,69831
530,0.1767,69563
531,0.1770,69603
532,0.1773,69536
533,0.1777,69753
534,0.1780,69693
535,0.1783,69729
536,0.1787,69563
537,0.1790,69574
538,0.1793,69521
539,0.1797,69682
540,0.1800,69637
541,0.1803,69618
542,0.1807,69484
543,0.1810,69514
544,0.1813,69614
545,0.1817,69735
546,0.1820,69702
547,0.1823,69653
548,0.1827,69496
549,0.1830,69553
550,0.1833,69560
551,0.1837,69674
552,0.1840,69633
553,0.1843,69670
554,0.1847,69628
555,0.1850,69679
556,0.1853,69657
557,0.1857,69732
558,0.1860,69662
559,0.1863,69685
560,0.1867,69506
561,0.1870,69578
562,0.1873,69648
563,0.1877,69661
564,0.1880,69628
565,0.1883,69561
566,0.1887,69634
567,0.1890,69735
568,0.1893,69839
569,0.1897,69803
570,0.1900,69757
571,0.1903,69624
572,0.1907,69609
573,0.1910,69572
574,0.1913,69687
575,0.1917,69657
576,0.1920,69715
577,0.1923,69576
578,0.1927,69687
579,0.1930,69670
580,0.1933,69862
581,0.1937,69740
582,0.1940,69726
583,0.1943,69534
584,0.1947,69642
585,0.1950,69570
586,0.1953,69741
587,0.1957,69600
588,0.1960,69690
589,0.1963,69574
590,0.1967,69700
591,0.1970,69725
592,0.1973,69901
593,0.1977,69855
594,0.1980,69803
595,0.1983,69670
596,0.1987,69734
597,0.1990,69803
598,0.1993,69883
599,0.1997,69813
600,0.2000,69739
601,0.2003,69580
602,0.2007,69608
603,0.2010,69683
604,0.2013,69806
605,0.2017,69734
606,0.2020,69676
607,0.2023,69538
608,0.2027,69640
609,0.2030,69630
610,0.2033,69801
611,0.2037,69754
612,0.2040,69743
613,0.2043,69531
614,0.2047,69473
615,0.2050,69556
616,0.2053,69579
617,0.2057,69680
618,0.2060,69633
619,0.2063,69642
620,0.2067,69633
621,0.2070,69668
622,0.2073,69631
623,0.2077,69570
624,0.2080,69552
625,0.2083,69686
626,0.2087,69692
627,0.2090,69805
628,0.2093,69711
629,0.2097,69753
630,0.2100,69601
631,0.2103,69706
632,0.2107,69700
633,0.2110,69861
634,0.2113,69738
635,0.2117,69732
636,0.2120,69583
637,0.2123,69622
638,0.2127,69580
639,0.2130,69773
640,0.2133,69763
641,0.2137,69837
642,0.2140,69723
643,0.2143,69764
644,0.2147,69783
645,0.2150,69885
646,0.2153,69806
647,0.2157,69754
648,0.2160,69619
649,0.2163,69652
650,0.2167,69840
651,0.2170,69719
652,0.2173,69727
653,0.2177,69563
654,0.2180,69646
655,0.2183,69655
656,0.2187,69769
657,0.2190,69731
658,0.2193,69701
659,0.2197,69653
660,0.2200,69692
661,0.2203,69938
662,0.2207,69797
663,0.2210,69776
664,0.2213,69515
665,0.2217,69572
666,0.2220,69518
667,0.2223,69734
668,0.2227,69739
669,0.2230,69803
670,0.2233,69628
671,0.2237,69584
672,0.2240,69735
673,0.2243,69681
674,0.2247,69752
675,0.2250,69635
676,0.2253,69771
677,0.2257,69742
678,0.2260,69904
679,0.2263,69820
680,0.2267,69843
681,0.2270,69664
682,0.2273,69685
683,0.2277,69787
684,0.2280,69780
685,0.2283,69706
686,0.2287,69595
687,0.2290,69594
688,0.2293,69656
689,0.2297,69761
690,0.2300,69674
691,0.2303,69703
692,0.2307,69583
693,0.2310,69730
694,0.2313,69701
695,0.2317,69881
696,0.2320,69738
697,0.2323,69776
698,0.2327,69618
699,0.2330,69707
700,0.2333,69781
701,0.2337,69762
702,0.2340,69720
703,0.2343,69656
704,0.2347,69656
705,0.2350,69665
706,0.2353,69780
707,0.2357,69707
708,0.2360,69718
709,0.2363,69586
710,0.2367,69715
711,0.2370,69865
712,0.2373,69838
713,0.2377,69712
714,0.2380,69593
715,0.2383,69609
716,0.2387,69714
717,0.2390,69821
718,0.2393,69822
719,0.2397,69806
720,0.2400,69753
721,0.2403,69716
722,0.2407,69808
723,0.2410,69748
724,0.2413,69754
725,0.2417,69663
726,0.2420,69638
727,0.2423,69644
728,0.2427,69787
729,0.2430,69773
730,0.2433,69734
731,0.2437,69602
732,0.2440,69598
733,0.2443,69807
734,0.2447,69734
735,0.2450,69728
736,0.2453,69509
737,0.2457,69570
738,0.2460,69566
739,0.2463,69779
740,0.2467,69710
741,0.2470,69667
742,0.2473,69502
743,0.2477,69523
744,0.2480,69657
745,0.2483,69810
746,0.2487,69865
747,0.2490,69805
748,0.2493,69667
749,0.2497,69576
750,0.2500,69715
751,0.2503,69689
